news_id,ticker,title,sapo,publish_time,Target_Date,open,high,low,close,volume
185,VIC,Tuần 19-23/8: Khối ngoại mua ròng 548 tỷ đồng nhờ thỏa thuận mạnh VIC và CMG,"Khối ngoại sàn HoSE bán ròng 525 tỷ đồng thông qua phương thức khớp lệnh. VIC và CMG là hai cổ phiếu được khối ngoại mua ròng mạnh nhất với giá trị lần lượt đạt 998 tỷ đồng và 203,5 tỷ đồng. Khối ngoại sàn HNX có tuần bán ròng thứ 6 liên tiếp với tổng giá trị đạt 414 tỷ đồng.  Khối ngoại sàn UPCoM mua ròng 12 tuần liên tiếp với tổng giá trị đạt 523 tỷ đồng.",2019-08-24 19:40:00,2019-08-25,55.55,55.55,54.84,55.46,355930.0
184,VIC,"Tháng 8: Khối ngoại bán ròng 1.734 tỷ đồng, gom VIC nhưng 'xả' mạnh VJC",Khối ngoại sàn HNX có tháng bán ròng thứ 4 liên tiếp với giá trị tăng 30% so với tháng 7 và đạt 221 tỷ đồng. Khối ngoại sàn UPCoM đã có 6 tháng mua ròng liên tiếp với tổng giá trị đạt 1.361 tỷ đồng.  VIC được mua ròng đến 1.056 tỷ đồng nhưng đa phần giao dịch thực hiện thông qua phương thức thỏa thuận.,2019-09-02 17:52:00,2019-09-03,54.88,55.28,54.3,54.66,174400.0
183,VIC,"VIC, VJC tăng mạnh trong phiên chiều, VN-Index bứt phá vượt ngưỡng 990 điểm","Nổi bật trong số các Bluechips phải kể tới VJC, GAS, VIC, VCB, VNM, PNJ và đây là những cổ phiếu có tác động tích cực nhất tới thị trường.",2019-10-11 10:13:00,2019-10-11,52.22,52.44,51.86,52.44,328950.0
182,VIC,"Phiên 14/10: Khối ngoại trở lại mua ròng, tập trung “gom” NVL, VIC, VCB","Sau 14 phiên bán ròng liên tiếp, khối ngoại đã trở lại mua ròng 32 tỷ trên toàn thị trường. Trong đó, lực mua tập trung vào NVL (27 tỷ đồng), VIC (17,7 tỷ đồng), VCB (14,9 tỷ đồng), VNM (13,8 tỷ đồng)…",2019-10-14 15:35:00,2019-10-15,52.44,53.02,52.44,52.62,222070.0
181,VIC,"Phiên 16/10: Khối ngoại tiếp tục bán ròng, tập trung bộ đôi VIC, VHM","Giao dịch khối ngoại cũng không thực sự tích cực khi họ tiếp tục bán ròng hơn 60 tỷ trên toàn thị trường. Trong đó, lực bán tập trung vào các Bluechips như VIC (81,6 tỷ đồng), VHM (26,6 tỷ đồng), POW (18,7 tỷ đồng)…",2019-10-16 15:30:00,2019-10-17,52.39,52.66,51.95,51.99,479110.0
180,VIC,"Diêm Thống Nhất 58 năm chỉ bán diêm, Siam Brothers ""đút túi"" 130 tỷ chỉ nhờ bán dây thừng và trăn trở của Sáng lập quỹ VIC Partners Hùng Đinh với các CEO startup trẻ: Hãy làm một việc nhỏ, thật lớn!","Cuộc tranh luận kéo dài 3 giờ đồng hồ giữa Sáng lập quỹ VIC Partners kiêm CEO DesignBold Hùng Đinh và vị CEO trẻ xoay quanh việc ông Hùng cố gắng thuyết phục vị CEO tập trung vào đúng một sản phẩm và phải biết từ chối thẳng thừng khi khách hàng yêu cầu làm thêm sản phẩm khác. Quan điểm của CEO thì ngược lại: Sau khi cung cấp 1 sản phẩm, thì cố gắng bán thêm một vài sản phẩm khác để giữ chân khách hàng…",2019-10-26 10:08:00,2019-10-26,51.99,52.48,51.86,52.3,268360.0
1169,TTF,"Gỗ Trường Thành (TTF): Lỗ thêm 170 tỷ trong quý 3, nâng tổng lỗ 9 tháng lên gần 500 tỷ đồng","Thực tế doanh thu ghi nhận tại TTF vẫn chưa hỗ trợ cho kỳ vọng của ban lãnh đạo nói chung và ""người cứu cánh"" kiêm tân Chủ tịch - ông Mai Hữu Tín nói riêng. Trên thị trường, cổ phiếu TTF dù có ""nỗ lực"" phục hồi song vẫn còn ở mức khá thấp 2.970 đồng/cp, thanh khoản không mấy cải thiện.",2019-10-30 22:34:00,2019-10-31,2.93,2.94,2.81,2.83,1269440.0
179,VIC,"Bộ 3 VIC, VHM, VRE đóng góp gần 11 điểm vào đà tăng VN-Index, vốn hóa “nhóm VinGroup” tăng thêm gần 37 nghìn tỷ đồng trong phiên đầu tháng 11","Vốn hóa cổ phiếu trên Sở GDCK TP.HCM (HoSE) kết phiên giao dịch đầu tháng 11 lên tới gần 3,44 triệu tỷ đồng, tăng 56.786 tỷ đồng (2,45 tỷ USD) so với phiên giao dịch trước, trong đó, vốn hóa ""nhóm VinGroup"" tăng thêm tổng cộng 36.786 tỷ đồng.",2019-11-01 15:50:00,2019-11-02,54.44,54.44,53.64,54.08,309680.0
178,VIC,"Dự báo danh mục ETFs cuối năm 2019: VIC được nâng tỷ trọng, GEX có thể bị loại khỏi danh mục","FTSE Vietnam Index sẽ thực hiện công bố danh mục vào chiều ngày 6/12 (thứ 6), MVIS Vietnam Index công bố danh mục sau đó vào rạng sáng ngày 14/12 (thứ 7). Sau đó 2 quỹ VNM ETF, FTSE Vietnam ETF sẽ hoàn tất cơ cấu danh mục vào ngày 20/12 (thứ 6).",2019-11-18 08:51:00,2019-11-18,53.24,53.24,52.39,52.48,267820.0
177,VIC,"VIC, VHM hồi phục mạnh trong phiên ATC, VN-Index thu hẹp đà giảm xuống còn gần 6 điểm","Việc bộ đôi VIC, VHM hồi phục, cùng với sắc xanh của MWG, PNJ, FPT, HPG, VNM, VCB, BVH đã giúp VN-Index thu hẹp đáng kể đà giảm điểm.",2019-12-10 10:10:00,2019-12-10,51.33,51.5,50.48,51.5,575810.0
